"id","WT-1_fpkm","WT-2_fpkm","WT-3_fpkm","KO-1_fpkm","KO-2_fpkm","KO-3_fpkm","WT-12h-1_fpkm","WT-12h-2_fpkm","WT-12h-3_fpkm","WT-24h-1_fpkm","WT-24h-2_fpkm","WT-24h-3_fpkm","KO-12h-1_fpkm","KO-12h-2_fpkm","KO-12h-3_fpkm","KO-24h-1_fpkm","KO-24h-2_fpkm","KO-24h-3_fpkm","WT-1_count","WT-2_count","WT-3_count","KO-1_count","KO-2_count","KO-3_count","WT-12h-1_count","WT-12h-2_count","WT-12h-3_count","WT-24h-1_count","WT-24h-2_count","WT-24h-3_count","KO-12h-1_count","KO-12h-2_count","KO-12h-3_count","KO-24h-1_count","KO-24h-2_count","KO-24h-3_count","Symbol","Description","KEGG_A_class","KEGG_B_class","Pathway","K_ID","GO Component","GO Function","GO Process"
"C2R79_RS02270",66.7,72.24,67.58,89.58,76.84,83.71,54.76,52.64,54.99,48.88,54.82,54.15,63.07,54.09,57.8,79.14,71.87,79.85,376,386,654,330,397,295,576,366,432,472,514,582,237,190,245,451,315,372,"bioA","adenosylmethionine--8-amino-7-oxononanoate transaminase [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko00780//Biotin metabolism","K00833;K00833","-","-","-"
"C2R79_RS02275",90.72,75.7,77.82,179.19,203.36,195.25,16.79,16.72,16.57,17.81,12.4,9.08,21.03,29.12,42.77,12.24,7.42,15.97,110,87,162,142,226,148,38,25,28,37,25,21,17,22,39,15,7,16,"gatC","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Helicobacter pylori]","Metabolism;Genetic Information Processing","Global and overview maps;Translation","ko01100//Metabolic pathways;ko00970//Aminoacyl-tRNA biosynthesis","K02435;K02435","-","-","-"
"C2R79_RS02280",215.4,239.72,226.69,497.14,526.57,508.89,615.38,542.53,573.12,400.62,368.42,374.17,714.82,721.41,701.99,597.73,553.02,618.89,1367,1442,2470,2062,3063,2019,7288,4247,5069,4355,3889,4528,3024,2853,3350,3835,2729,3246,"gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Carbohydrate metabolism;Amino acid metabolism;Energy metabolism","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko01120//Microbial metabolism in diverse environments;ko01230//Biosynthesis of amino acids;ko01200//Carbon metabolism;ko00010//Glycolysis / Gluconeogenesis;ko00260//Glycine, serine and threonine metabolism;ko00680//Methane metabolism","K15633;K15633;K15633;K15633;K15633;K15633;K15633;K15633","-","-","-"
"C2R79_RS02285",379.05,387.87,386.57,768.17,738.47,720.87,802.04,840.01,814.55,736.08,733.21,710.61,922.49,971.65,931.97,955.84,1042.76,955.6,1726,1674,3022,2286,3082,2052,6815,4718,5169,5741,5553,6170,2800,2757,3191,4400,3692,3596,"--","Uncharacterised protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02290",136.94,138.65,131.35,289.96,287.24,277.7,462.13,412.1,453.58,272.59,284.77,301.62,559.13,530.95,571.74,522.04,492.68,550.95,1240,1190,2042,1716,2384,1572,7809,4603,5724,4228,4289,5208,3375,2996,3893,4779,3469,4123,"glyS","glycine--tRNA ligase subunit beta [Helicobacter pylori]","Genetic Information Processing","Translation","ko00970//Aminoacyl-tRNA biosynthesis","K01879","-","-","-"
"C2R79_RS02295",18.58,19.79,20.5,33.89,40.15,36,99.74,94.13,96.51,31.49,40.81,34.1,110.94,104.34,121.39,49.83,49.39,56.85,104,105,197,124,206,126,1042,650,753,302,380,364,414,364,511,282,215,263,"--","membrane protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02300",19.81,25.9,24.71,31.3,28.19,23.77,54.24,46.26,50.84,10.69,9.71,10.5,56.21,53.91,60.14,16.83,18,23.71,92,114,197,95,120,69,470,265,329,85,75,93,174,156,210,79,65,91,"--","sodium:proton antiporter [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02305",16.8,15.64,15.45,31.28,29.27,27.23,213.34,177.77,179.92,36.21,39.12,35.47,208.2,206.25,222.87,68.19,74.58,78.17,221,195,349,269,353,224,5238,2885,3299,816,856,890,1826,1691,2205,907,763,850,"czcA","cation efflux system protein (czcA) [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02310",3.3,2.61,0.96,7.57,9,2.64,13.7,11.37,12.43,0.48,1.49,1.73,21.03,18.53,13.16,4.89,3.18,3.99,4,3,2,6,10,2,31,17,21,1,3,4,17,14,12,6,3,4,"--","DUF3240 family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02315",0,0,0,0,1.01,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,"--","dynamin family protein [Helicobacter pylori Hp H-24b] [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02325",0,0.4,0,0.58,0.41,0,0.2,0,0,0.22,0.45,0.2,0.57,0,1.01,0.37,0,0,0,1,0,1,1,0,1,0,0,1,2,1,1,0,2,1,0,0,"--","ATP/GTP-binding protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02330",1.8,1.19,0.92,0.34,2.46,2.52,1.21,1.83,0.65,1.32,2.17,1.3,0.34,3.25,2.7,1.34,1.45,1.36,8,5,7,1,10,7,10,10,4,10,16,11,1,9,9,6,5,5,"--","ATP/GTP-binding protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02335",0,4.04,3.07,9.52,6.79,2.3,7.69,6.21,10.64,3.91,3.74,7.03,16.51,14.59,7,13.25,9.85,4.63,0,8,11,13,13,3,30,16,31,14,13,28,23,19,11,28,16,8,"--","ATP/GTP-binding protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02340",1.11,0.58,1.45,3.38,2.71,1.77,9.33,8.18,8.53,10.08,8.89,10.87,13.06,9.31,11.95,7.52,10.84,9.36,8,4,18,16,18,8,126,73,86,125,107,150,63,42,65,55,61,56,"--","ATPase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02345",188.48,178.74,178.6,267.18,274.28,278.92,368.32,365.85,358.47,252.33,251.07,262.9,386.8,427.68,377.81,359.9,361.53,356.64,761,684,1238,705,1015,704,2775,1822,2017,1745,1686,2024,1041,1076,1147,1469,1135,1190,"gpsA","glycerol-3-phosphate dehydrogenase, NAD(P)+ dependent [Helicobacter pylori G27] [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Lipid metabolism","ko01110//Biosynthesis of secondary metabolites;ko00564//Glycerophospholipid metabolism","K00057;K00057","GO:0005737//cytoplasm","GO:0016616//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;GO:0048037//cofactor binding","GO:0006072//glycerol-3-phosphate metabolic process;GO:0006644//phospholipid metabolic process"
"C2R79_RS02350",30.34,37.75,27.49,75.38,80.9,76.73,64.19,52.97,56,56.01,44.43,43.1,70.4,70.32,71.03,73.35,69.02,76.86,117,138,182,190,286,185,462,252,301,370,285,317,181,169,206,286,207,245,"glyQ","glycine--tRNA ligase subunit alpha [Helicobacter pylori]","Genetic Information Processing","Translation","ko00970//Aminoacyl-tRNA biosynthesis","K01878","-","-","-"
"C2R79_RS02355",75.62,72.74,71.06,188.63,188.92,180.93,419.86,380.7,430.88,210.72,230.37,217.61,511.43,558.81,516.34,480.53,483.79,497.87,238,217,384,388,545,356,2466,1478,1890,1136,1206,1306,1073,1096,1222,1529,1184,1295,"HP_0959","Nif3-like dinuclear metal center hexameric protein [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko00790//Folate biosynthesis","K22391;K22391","-","-","-"
"C2R79_RS02360",70.84,76.98,71.54,93.97,123.06,94.83,19.88,14.3,18.76,18.81,11.52,15.94,24.17,20.49,22.24,17.44,14.08,17.29,233,240,404,202,371,195,122,58,86,106,63,100,53,42,55,58,36,47,"--","zinc ribbon domain-containing protein [Helicobacter pylori CPY3281] [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02365",23.61,22.21,22,70.15,62.47,65.47,273.3,261.29,295.78,154.73,161.71,164.17,321.15,268.39,304.06,124.17,132.85,126.19,120,107,192,233,291,208,2592,1638,2095,1347,1367,1591,1088,850,1162,638,525,530,"trmB","3-deoxy-D-manno-octulosonic acid transferase [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Glycan biosynthesis and metabolism","ko01100//Metabolic pathways;ko00540//Lipopolysaccharide biosynthesis","K02527;K02527","-","-","-"
"C2R79_RS02370",22.65,19.52,17.84,51.26,45.25,47.46,134.2,117.68,123.62,42.84,44.88,38.31,150.28,161.27,139.16,47.65,42.67,49.8,71,58,96,105,130,93,785,455,540,230,234,229,314,315,328,151,104,129,"HP_0956","RluA family pseudouridine synthase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02375",5.98,10.04,9.03,16.65,19.88,20.45,33.23,24.26,24.2,11.91,10.96,13.12,45.7,50.64,52.09,20.99,20.29,30.94,22,35,57,40,67,47,228,110,124,75,67,92,112,116,144,78,58,94,"lgt","prolipoprotein diacylglyceryl transferase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02380",1795.54,1844.35,1756.56,1498.21,1490,1476.94,1535.54,1683.54,1571.54,1707.85,1696.94,1644.54,1640.32,1591.94,1580.68,2037.04,2138.61,1977.94,4887,4758,8208,2665,3717,2513,7799,5652,5961,7962,7682,8535,2976,2700,3235,5605,4526,4449,"rdxA","NAD(P)H-dependent oxidoreductase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02385",1397.48,1364.47,1413.19,1778.67,1739.52,1740.72,1594.26,1599.18,1609.37,1166.93,1249.33,1227.21,1982.02,1818.72,1833.41,1777.94,1870.05,1834.94,3407,3153,5915,2834,3887,2653,7253,4809,5468,4873,5066,5705,3221,2763,3361,4382,3545,3697,"--","Uncharacterised protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02390",11.33,8.22,9.48,26,21.24,20.95,19.54,14.92,17.27,9.92,11.07,9.84,28.15,18.18,25.42,16.11,17.3,14.99,32,22,46,48,55,37,103,52,68,48,52,53,53,32,54,46,38,35,"Tmel_0783","nicotinamide-nucleotide amidohydrolase family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02395",14.75,13.57,14.1,35.3,34.66,31.46,97.68,98.41,105.56,49.45,43.2,43.23,116.87,139.58,123.22,78.93,83.65,83.28,39,34,64,61,84,52,482,321,389,224,190,218,206,230,245,211,172,182,"--","recombination protein RecO [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02400",380.67,401.62,376.66,682.68,675.78,691.03,113.89,106.84,103.77,116.27,114.27,115.24,184.88,165.59,155.71,246.18,239.97,233.55,1424,1424,2419,1669,2317,1616,795,493,541,745,711,822,461,386,438,931,698,722,"accD","acetyl-CoA carboxylase, carboxyltransferase subunit beta [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Global and overview maps;Global and overview maps;Energy metabolism;Carbohydrate metabolism;Carbohydrate metabolism;Global and overview maps;Lipid metabolism","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko01120//Microbial metabolism in diverse environments;ko01200//Carbon metabolism;ko00720//Carbon fixation pathways in prokaryotes;ko00620//Pyruvate metabolism;ko00640//Propanoate metabolism;ko01212//Fatty acid metabolism;ko00061//Fatty acid biosynthesis","K01963;K01963;K01963;K01963;K01963;K01963;K01963;K01963;K01963","-","-","-"
"C2R79_RS02405",163.26,144.08,136.36,343.29,307.52,324.4,681.2,685.94,716.52,439.41,517.64,502.68,730.92,795.88,826.84,710.98,764.59,682.12,318,266,456,437,549,395,2476,1648,1945,1466,1677,1867,949,966,1211,1400,1158,1098,"rlmH","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH [Helicobacter pylori]","-","-","-","-","GO:0044424//intracellular part","GO:0070037//rRNA (pseudouridine) methyltransferase activity","GO:0000154//rRNA modification"
"C2R79_RS02410",143.12,143.01,148.69,284.62,287.03,286.54,504.42,464.68,505.91,480.04,477.68,465.26,637.93,675.04,635.37,635.26,671.06,662.2,624,591,1113,811,1147,781,4104,2499,3074,3585,3464,3868,1854,1834,2083,2800,2275,2386,"--","LapA family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02415",1446.68,1454.65,1455.42,2592.97,2651.4,2750.75,1261.07,1238.3,1230.24,905.94,974.56,951.89,2060.72,2061.46,1768.01,1816.98,1973.42,1784.65,2258,2152,3900,2645,3793,2684,3673,2384,2676,2422,2530,2833,2144,2005,2075,2867,2395,2302,"--","Uncharacterised protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02420",4.99,6.75,8.27,31.5,30.97,22.46,377.24,354.21,388.5,92.7,95.09,93.91,363.88,375.98,343.11,76.38,71.82,82.67,32,41,91,132,182,90,4513,2801,3471,1018,1014,1148,1555,1502,1654,495,358,438,"HI_1586","Na+/H+ antiporter NhaC family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02440",5891.8,6096.64,6025.96,3706.87,3893.3,4340.32,759.42,988,852.77,245.76,185.04,212.63,1174.63,1175.65,977.37,348.91,342.97,341.46,7600,7454,13345,3125,4603,3500,1828,1572,1533,543,397,523,1010,945,948,455,344,364,"trl","protein trl [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02450",430.07,436.86,389.91,317.26,310.13,291.32,122.65,128.69,123.62,123.57,133.91,116.16,154.14,132.31,138.28,185.02,191.49,143.69,699,673,1088,337,462,296,372,258,280,344,362,360,167,134,169,304,242,193,"jhp_0879","RidA family protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02455",552.66,534.72,548.34,612.73,581.99,569.96,380.46,313.79,357.18,407,420.85,407.55,411.43,375.04,417.91,600.6,588.99,578.59,2930,2687,4991,2123,2828,1889,3764,2052,2639,3696,3711,4120,1454,1239,1666,3219,2428,2535,"dadA","FAD-binding oxidoreductase [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Amino acid metabolism","ko01100//Metabolic pathways;ko00360//Phenylalanine metabolism","K00285;K00285","-","-","-"
"C2R79_RS02460",169.83,171.02,169.31,215.94,220.93,206.5,97.36,69.96,86.96,89.21,98.28,86.72,82,88.82,96.47,128.88,105.89,117.93,988,943,1691,821,1178,751,1057,502,705,889,951,962,318,322,422,758,479,567,"HI_0883","amino acid carrier protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02465",92.5,82.44,83.62,138.39,138.28,136.48,48.25,39.41,51.8,39.39,36.62,37.97,44.92,49.04,53.19,48.49,35.08,51.87,451,381,700,441,618,416,439,237,352,329,297,353,146,149,195,239,133,209,"alr","alanine racemase [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of other amino acids","ko01100//Metabolic pathways;ko00473//D-Alanine metabolism","K01775;K01775","-","-","-"
"C2R79_RS02470",214.91,210.63,208.34,147.47,149.57,126.4,797.19,851.26,803.91,967.75,995.71,1066.16,1114.95,1171.54,1096.27,2089.72,2561.81,2287.21,718,667,1195,322,458,264,4970,3508,3743,5538,5533,6792,2483,2439,2754,7058,6655,6315,"HI_1080","amino acid ABC transporter substrate-binding protein [Helicobacter pylori]","Environmental Information Processing","Membrane transport","ko02010//ABC transporters","K02424","-","-","-"
"C2R79_RS02475",29.32,28.52,23.34,28.91,27.72,24.49,462.91,409.84,451.1,387.37,412.04,421.25,522.37,516.97,528.05,482.34,458.29,494.26,90,83,123,58,78,47,2652,1552,1930,2037,2104,2466,1069,989,1219,1497,1094,1254,"HI_1079","amino acid ABC transporter permease [Helicobacter pylori]","Environmental Information Processing","Membrane transport","ko02010//ABC transporters","K10009","-","-","-"
"C2R79_RS02480",3.3,0,1.44,1.26,0.9,0,3.98,3.34,2.96,1.93,1.98,3.46,4.95,9.26,3.29,0,1.06,2,4,0,3,1,1,0,9,5,5,4,4,8,4,7,3,0,1,2,"--","DUF262 domain-containing protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02485",0.69,0.91,1,2.11,1.13,2.2,6,3.91,3.83,2.31,4.35,3.98,4.91,5.25,8.25,2.73,2.22,0.42,4,5,10,8,6,8,65,28,31,23,42,44,19,19,36,16,10,2,"--","DUF1524 domain-containing protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02490",3.25,2.89,3.19,6.28,5.97,4.65,21.18,22.48,24.56,20.28,16.98,14.81,34.92,33.23,30.5,23.87,20.69,26.92,19,16,32,24,32,17,231,162,200,203,165,165,136,121,134,141,94,130,"HI_0418","MFS transporter [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02495",222.62,235.61,241.94,449.04,440.8,437.59,368.62,349.95,380.4,417.52,408.85,395.93,474.51,484.1,477.34,581.74,619.44,608.47,1901,1907,3547,2506,3450,2336,5874,3686,4527,6107,5807,6447,2701,2576,3065,5022,4113,4294,"--","outer membrane protein HomA [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02500",0.96,1.51,0.84,2.93,5.22,3.83,10.26,8.54,13.74,3.63,1.73,2.51,17.95,23.81,8.27,5.21,3.69,9.84,2,3,3,4,10,5,40,22,40,13,6,10,25,31,13,11,6,17,"--","GNAT family N-acetyltransferase [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02505",2.46,2.6,5.38,4.71,6.71,6.4,61.49,36.91,67.11,24.07,18.5,21.62,65.53,60.23,73.64,28,28.88,31.64,8,8,30,10,20,13,373,148,304,134,100,134,142,122,180,92,73,85,"queE","7-carboxy-7-deazaguanine synthase QueE [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko00790//Folate biosynthesis","K10026;K10026","-","-","-"
"C2R79_RS02510",34.71,32.15,32.13,63.15,51.34,54.29,214.54,192.3,185.42,93,85.33,72.01,230.28,199.92,233.89,135.82,111.11,140.94,90,79,143,107,122,88,1038,615,670,413,368,356,398,323,456,356,224,302,"queD","6-pyruvoyl tetrahydropterin synthase family protein [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko00790//Folate biosynthesis","K01737;K01737","-","-","-"
"C2R79_RS02515",146.24,134.58,147.78,230.77,241.06,203.49,1033.11,929.61,970.44,497.65,540.03,551.26,1179.38,1188.66,1188.44,1053.36,1096.71,1072.81,415,362,720,428,627,361,5471,3254,3838,2419,2549,2983,2231,2102,2536,3022,2420,2516,"--","predicted coding region HP0931 [Helicobacter pylori 26695] [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02520",195.54,200.81,195.78,252.29,268.89,273.47,572.15,505.85,542.16,319.18,354.44,347.09,667.86,608.11,652.83,520.77,420.38,495.28,676,658,1162,570,852,591,3691,2157,2612,1890,2038,2288,1539,1310,1697,1820,1130,1415,"surE","5'/3'-nucleotidase SurE [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Nucleotide metabolism;Nucleotide metabolism;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko00230//Purine metabolism;ko00240//Pyrimidine metabolism;ko00760//Nicotinate and nicotinamide metabolism","K03787;K03787;K03787;K03787;K03787","-","-","-"
"C2R79_RS02525",152.5,187.26,172.6,320.74,322.19,313.29,295.18,267.94,310.89,158.71,140.44,156.47,380.65,335.57,373.73,233.84,223.67,251.49,598,696,1162,822,1158,768,2160,1296,1699,1066,916,1170,995,820,1102,927,682,815,"GGPS","polyprenyl synthetase family protein [Helicobacter pylori]","Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Metabolism of terpenoids and polyketides","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko00900//Terpenoid backbone biosynthesis","K00795;K00795;K00795","-","-","-"
"C2R79_RS02530",26.98,28.92,34.43,38.67,37.85,51.39,118.2,93.41,118.32,71.26,77.51,77.49,115.66,116.85,133.86,133.46,121.73,127.49,63,64,138,59,81,75,515,269,385,285,301,345,180,170,235,315,221,246,"folE","GTP cyclohydrolase I FolE [Helicobacter pylori]","Metabolism;Metabolism","Global and overview maps;Metabolism of cofactors and vitamins","ko01100//Metabolic pathways;ko00790//Folate biosynthesis","K01495;K01495","-","GO:0016787//hydrolase activity;GO:0036094//small molecule binding;GO:0046872//metal ion binding;GO:0097159//organic cyclic compound binding;GO:1901363//heterocyclic compound binding","GO:0042559//pteridine-containing compound biosynthetic process;GO:0044281//small molecule metabolic process;GO:0044763//single-organism cellular process;GO:0051188//cofactor biosynthetic process"
"C2R79_RS02535",55.02,52.89,59.4,89.06,88.58,74.33,147.17,142.95,153.19,110.94,113.95,107.35,172.8,182.88,152.53,152.4,191.85,185.84,225,205,417,238,332,190,1123,721,873,777,775,837,471,466,469,630,610,628,"htpX","zinc metalloprotease HtpX [Helicobacter pylori]","-","-","-","-","GO:0031224//intrinsic component of membrane","GO:0004175//endopeptidase activity;GO:0046914//transition metal ion binding","GO:0019538//protein metabolic process"
"C2R79_RS02540",16.84,20.55,17.73,31.67,34.32,25,70.58,72.56,72.52,62.68,68.33,57.05,84.03,108.12,75.84,80.5,77.26,83.98,83,96,150,102,155,77,649,441,498,529,560,536,276,332,281,401,296,342,"truD","tRNA pseudouridine(13) synthase TruD [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02545",32.77,23.61,36.08,73.37,57.99,58.17,65.74,62.85,63.66,28,28.59,30.39,73.14,74.39,67.49,37.55,40.6,47.39,82,56,155,120,133,91,307,194,222,120,119,145,122,116,127,95,79,98,"recR","recombination protein RecR [Helicobacter pylori]","Genetic Information Processing","Replication and repair","ko03440//Homologous recombination","K06187","-","-","-"
"C2R79_RS02550",37.08,29.63,37.96,104.87,107.87,95.25,6.62,9.11,3.22,14.43,6.08,10.61,11.8,9.02,26.9,27.78,5.78,13.6,33,25,58,61,88,53,11,10,4,22,9,18,7,5,18,25,4,10,"HP_0924","4-oxalocrotonate tautomerase family protein [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Xenobiotics biodegradation and metabolism;Global and overview maps;Xenobiotics biodegradation and metabolism;Xenobiotics biodegradation and metabolism","ko01100//Metabolic pathways;ko01120//Microbial metabolism in diverse environments;ko00362//Benzoate degradation;ko01220//Degradation of aromatic compounds;ko00621//Dioxin degradation;ko00622//Xylene degradation","K01821;K01821;K01821;K01821;K01821;K01821","-","GO:0003824//catalytic activity","-"
"C2R79_RS02565",201.94,208.91,205.76,147.49,138.39,127.3,106.71,104.95,113.53,119.86,121.97,112.95,86.03,89.03,86.21,98.86,110.75,110.08,1081,1060,1891,516,679,426,1066,693,847,1099,1086,1153,307,297,347,535,461,487,"rpoN","RNA polymerase factor sigma-54 [Helicobacter pylori]","Environmental Information Processing;Cellular Processes","Signal transduction;Cellular community - prokaryotes","ko02020//Two-component system;ko05111//Biofilm formation - Vibrio cholerae","K03092;K03092","-","-","-"
"C2R79_RS02570",1041.26,1010.33,1050.56,699.91,682.97,661.73,380.79,424.3,423.32,484.33,611.92,531.9,341.66,412.45,310.58,442.92,466.65,439.45,3237,2977,5607,1422,1946,1286,2209,1627,1834,2579,3164,3153,708,799,726,1392,1128,1129,"lptB","LPS export ABC transporter ATP-binding protein [Helicobacter pylori]","Environmental Information Processing","Membrane transport","ko02010//ABC transporters","K06861","-","-","-"
"C2R79_RS02575",56.12,60.43,47.85,102.69,93.42,77.74,31.31,29.55,31.13,28.37,26.09,25.49,46,57.56,30.78,52.08,52.08,53.2,97,99,142,116,148,84,101,63,75,84,75,84,53,62,40,91,70,76,"--","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02580",71.16,81.23,73.95,129.77,136.2,133.76,24.29,22.24,23.87,18.49,18.01,15.71,35.19,29.35,29.78,28.58,24.03,29.34,537,581,958,640,942,631,342,207,251,239,226,226,177,138,169,218,141,183,"dnaX","DNA polymerase III subunit gamma/tau [Helicobacter pylori]","Genetic Information Processing;Genetic Information Processing;Genetic Information Processing","Replication and repair;Replication and repair;Replication and repair","ko03440//Homologous recombination;ko03430//Mismatch repair;ko03030//DNA replication","K02343;K02343;K02343","-","-","-"
"C2R79_RS02585",37.11,39.15,43.23,57.34,50.51,48.78,56.11,50.64,62.22,61.99,51.69,50.29,97.56,70.16,78.18,62.87,82.22,85.36,101,101,202,102,126,83,285,170,236,289,234,261,177,119,160,173,174,192,"yggA","amino acid transporter [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02590",3972.95,3797.15,3720.34,5649.17,5529.61,5495.99,54474.77,61568.26,59311.76,14073.13,15456.47,16360.11,58922.71,64880.74,59278.64,33794.97,39912.15,32469.71,7226,6546,11617,6715,9218,6249,184889,138125,150339,43843,46758,56739,71437,73534,81071,62139,56445,48805,"--","DUF1104 domain-containing protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02595",1912.08,1851.58,1824.03,2810.2,2804.56,3031.7,1712.3,1958.68,1938.54,810.8,775.49,767.38,2436.94,2453.78,2222.72,1913.58,2010.41,1882.3,3749,3441,6140,3601,5040,3716,6265,4737,5297,2723,2529,2869,3185,2998,3277,3793,3065,3050,"--","sialic acid-binding protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02600",487.67,499.13,474.07,370.05,392.79,421.84,74.68,80.58,80.03,193.93,207.82,190.19,124.91,137.52,125.13,367.91,389.15,314.02,2208,2142,3685,1095,1630,1194,631,450,505,1504,1565,1642,377,388,426,1684,1370,1175,"ansA","type II asparaginase [Helicobacter pylori]","Metabolism;Metabolism;Metabolism;Metabolism","Global and overview maps;Global and overview maps;Amino acid metabolism;Metabolism of other amino acids","ko01100//Metabolic pathways;ko01110//Biosynthesis of secondary metabolites;ko00250//Alanine, aspartate and glutamate metabolism;ko00460//Cyanoamino acid metabolism","K01424;K01424;K01424;K01424","-","-","-"
"C2R79_RS02605",239.21,239.66,243.68,1103.11,1049.08,1004.64,125.66,123.58,130.42,208.87,215.41,226.45,409.67,468.77,409.37,675.13,633.01,688.34,1370,1301,2396,4129,5507,3597,1343,873,1041,2049,2052,2473,1564,1673,1763,3909,2819,3258,"dcuA","anaerobic C4-dicarboxylate transporter [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02615",111.22,109.32,104.62,333.38,326.44,286.11,127.35,116.25,130.34,71.88,75.85,69.22,207.14,195.96,188,201.99,209.83,195.28,439,409,709,860,1181,706,938,566,717,486,498,521,545,482,558,806,644,637,"--","outer membrane beta-barrel protein [Helicobacter pylori]","-","-","-","-","-","-","-"
"C2R79_RS02620",24.03,31.32,24.98,31.37,30.59,45.99,8.08,9.17,7.27,4.81,3.83,3.71,12.02,11.34,11.59,6.29,6.36,6.84,102,126,182,87,119,122,64,48,43,35,27,30,34,30,37,27,21,24,"dus","tRNA-dihydrouridine synthase [Helicobacter pylori]","-","-","-","-","-","-","-"
